序号,名称,简介,网址
1,淘宝商城,淘宝网 - 亚洲较大的网上交易平台，提供各类服饰、美容、家居、数码、话费/点卡充值…,https://www.taobao.com/
2,京东商城,京东(JD.COM)-正品低价、品质保障、配送及时、轻松购物！,https://www.jd.com/
3,天猫商城,天猫，中国线上购物的地标网站，亚洲超大的综合性购物平台，拥有10万多品牌商家。,https://www.tmall.com/
4,阿里巴巴,阿里巴巴（1688.com）是全球企业间（B2B）电子商务的著名品牌，为数千万网商提供海量商机信息和便捷安全的在线交易市场,https://www.1688.com/
5,亚马逊,亚马逊中国（z.cn）坚持“以客户为中心”的理念，秉承“天天低价，正品行货”信念,https://www.amazon.cn/
6,网易严选,网易严选秉承网易一贯的严谨态度，深入世界各地，严格把关所有商品的产地、工艺、原材料，甄选居家、厨房、饮食等各类商品，力求给你最优质的商品。,http://you.163.com/
7,闲鱼（淘宝二手）,闲鱼.淘宝二手是一个社区化的二手闲置交易市场，不仅支持各种同城及线上的担保交易，更安全,https://2.taobao.com/
8,当当网,全球领先的综合性网上购物中心。超过100万种商品在线热销！,http://www.dangdang.com/
9,聚划算,中国最大的团购网站，淘宝海量丰富团购商品，每日精选优良团购商品，全国团购成交量第一，品质生活保证,https://ju.taobao.com/
10,苏宁易购,苏宁易购-综合网上购物平台，商品涵盖家电、手机、电脑、超市、母婴、服装、百货、海外购等品类。,https://www.suning.com/
11,拼多多,拼多多作为新电商开创者，致力于将娱乐社交的元素融入电商运营中,https://youhui.pinduoduo.com/
12,唯品会,唯品会（原Vipshop.com）特卖会：品牌特卖_确保正品_确保低价_货到付款,https://www.vip.com/
13,京东商家后台,京东(JD.COM)-京东商家后台管理中心入口,https://passport.shop.jd.com/login/index.action?ReturnUrl=https%3A%2F%2Fshop.jd.com%2F
14,京准通,京准通是京东集团旗下营销推广平台。 依托京东集团的大数据优势，京准通可以为客户提供精准、高效的一体化营销解决方案， 帮助客户实现营销效果的最大化。,https://jzt.jd.com/
15,京东商智,京东面向商家的一站式运营数据开放平台,https://sz.jd.com/
16,京东联盟,京东CPS联盟是联合广大媒体合作伙伴帮助京东推广商品、扩大品牌知名度的合作平台。,https://union.jd.com/
17,京东达人,京东达人-京东内容开放平台,https://dr.jd.com/page/login.html
18,京东物流,京东物流隶属于京东集团，以打造客户体验最优的物流履约平台为使命,http://new-wl.jdwl.com/
19,京东金融,网银在线（北京）科技有限公司（以下简称网银在线）为京东集团全资子公司，是国内领先的电子支付解决方案提供商，专注于为各行业提供安全、便捷的综合电子支付服务。,https://biz.jd.com/index.html
20,京东商家论坛,京东卖家论坛是为京东平台商家提供的官方信息交流互助平台。为商家提供官方公告、官方活动、运营经验、问题解答,http://mjbbs.jd.com/
21,千牛卖家工作台,千牛-卖家工作台。阿里巴巴集团官方出品，淘宝卖家、天猫商家均可使用。,https://myseller.taobao.com/
22,生意参谋,阿里巴巴生意参谋零售电商版是淘系商家开店做生意和数据化运营必备的官方数据产品,https://sycm.taobao.com/
23,阿里妈妈,阿里妈妈是阿里巴巴集团旗下数字营销的大中台，依托阿里集团的核心商业数据和超级媒体矩阵，赋能商家、,https://www.alimama.com/
24,活动中心,淘营销是淘宝网官方营销活动中心，覆盖淘宝网首焦、搜索、服饰频道、箱包频道、数码频道、家电频道、全球购、极有家、淘金币等垂直市场,https://yingxiao.taobao.com/
